Week,Day,Date,Type,Link text,URL
9,1,21-Jul,Video,Iterators,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=737a8372-4317-47c5-8492-ae23002795c1&query=iterator
9,1,21-Jul,Slides,Iterators,slides/day36_iterators.pdf
9,1,21-Jul,Recap,Day 37,questions/day37.html
9,1,21-Jul,Exercise,Exercise 37,exercise/ex37.html
9,1,21-Jul,LectureSlides,"Day 21 Notes (annotated)",slides/summer24_slides/summer24_session21_day35-37_annotated.pdf


9,2,23-Jul,Video,Lambdas,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=5eb3773f-b093-4630-8e18-ae810038ea47
9,2,23-Jul,Slides,Lambdas,slides/day37_lambdas.pdf
9,2,23-Jul,Recap,Day 38,questions/day38.html
9,2,23-Jul,Exercise,Work on final project,#
9,2,23-Jul,LectureSlides,"Day 22 Notes (annotated)",slides/summer24_slides/summer24_session22_day38-00_annotated.pdf

9,3,25-Jul,Exercise,Work on final project,#

10,1,28-Jul,Video,N/A,#
10,1,28-Jul,Slides,N/A,#
10,1,28-Jul,Recap,N/A,#
10,1,28-Jul,Exercise,TBD

10,2,30-Jul,Video,N/A,#
10,2,30-Jul,Slides,N/A,#
10,2,30-Jul,Recap,N/A,#
10,2,30-Jul,Exercise,TBD

10,3,2-Aug,Exercise,Final exam,#
